BEGIN RESULTS HEADER:
endoplasmic reticulum membrane2.25626116862chloroplast3.52314576125peroxisome membrane0.0361310710326golgi apparatus0.346492772969nucleus membrane0.0405433383051secreted1.50349490728plastid0.0415381631777cytoplasm64.326014677vacuole membrane0.524482369472endoplasmic reticulum0.45443828568vacuole0.198104525059chloroplast membrane0.147926460112nucleus12.7554010108plasma membrane2.9211634772peroxisome1.35942264705mitochondrion7.48474526279golgi apparatus membrane0.498099866155mitochondrion membrane1.57117470072P34232,90.1813166895,32|MTR2_YEAST mRNA transport regulator MTR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTR2 PE=1 SV=1,187,nucleus,1.0,False,450.906583448,112.426041473,0.00541145431141
Q03868,0.0711358608781,68|SPO71_YEAST Sporulation-specific protein 71 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPO71 PE=3 SV=1,1265,nucleus,0.23,False,0.355679304391,0.599912426739,2.88758604823e-05
P32475,1.95791094218,75|YG3Z_YEAST Putative uncharacterized protein YGR176W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR176W PE=5 SV=2,116,secreted,0.32,False,9.78955471088,1.51411779528,7.28797275428e-05
Q03305,61.6008803673,05|RMT2_YEAST Arginine N-methyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RMT2 PE=1 SV=1,418,cytoplasm,0.68,False,308.004401836,171.661119957,0.00826264356124
Q08907,6.5130152697,07|FIT3_YEAST Facilitator of iron transport 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FIT3 PE=2 SV=1,207,secreted,0.38,False,32.5650763485,8.98796107219,0.00043262166005
Q03862,216.500291689,62|ARX1_YEAST Probable metalloprotease ARX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARX1 PE=1 SV=1,602,nucleus,0.16,False,1082.50145845,868.887837313,0.0418225775075
Q03860,55.2416654926,60|TVP15_YEAST Golgi apparatus membrane protein TVP15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TVP15 PE=1 SV=1,145,golgi apparatus membrane,1.0,False,276.208327463,53.4002766428,0.00257034005186
Q06152,4.02662170522,52|YL271_YEAST Uncharacterized protein YLR271W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR271W PE=1 SV=1,278,nucleus,0.34,False,20.1331085261,7.46267222701,0.00035920423123
Q03864,0.543472782371,64|YD102_YEAST Putative uncharacterized protein YDR102C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR102C PE=5 SV=1,111,secreted,0.49,False,2.71736391186,0.402169858955,1.93578266089e-05
P53160,1.42673664772,60|YGH4_YEAST Putative uncharacterized protein YGL074C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGL074C PE=5 SV=1,109,secreted,0.3,False,7.13368323862,1.03676196401,4.99029399823e-05
Q12495,5.19752194603,95|RLF2_YEAST Chromatin assembly factor 1 subunit p90 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RLF2 PE=1 SV=1,616,nucleus,1.0,False,25.9876097302,21.344490125,0.00102738415049
Q12497,94.2391709953,97|FMP16_YEAST Protein FMP16, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP16 PE=1 SV=1,94,mitochondrion,1.0,False,471.195854976,59.056547157,0.00284259591944
Q12496,100.141268258,96|YO098_YEAST Uncharacterized protein YOL098C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOL098C PE=1 SV=1,1054,mitochondrion,0.1,False,500.706341289,703.659311625,0.0338695569618
Q01649,0.340933423513,49|CIK1_YEAST Spindle pole body-associated protein CIK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CIK1 PE=1 SV=1,603,nucleus,0.15,False,1.70466711757,1.37055236252,6.59694266028e-05
Q12493,10.3010807326,93|NKP1_YEAST Central kinetochore subunit NKP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NKP1 PE=1 SV=2,241,nucleus,1.0,False,51.5054036631,16.5504030437,0.000796628154236
Q12492,1.7281033954,92|YP064_YEAST Putative uncharacterized protein YPR064W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR064W PE=5 SV=1,141,secreted,0.85,False,8.64051697699,1.62441719167,7.81888190694e-05
Q08412,71.545303285,12|CUE5_YEAST Ubiquitin-binding protein CUE5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CUE5 PE=1 SV=1,417,cytoplasm,1.0,False,357.726516425,198.895943132,0.00957354981893
P53162,9.81860429204,62|YGG9_YEAST Putative uncharacterized protein YGL069C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGL069C PE=5 SV=1,156,secreted,0.32,False,49.0930214602,10.2113484637,0.000491507527486
Q12499,556.94063477,99|NOP58_YEAST Nucleolar protein 58 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP58 PE=1 SV=1,519,nucleus,1.0,False,2784.70317385,1927.0145963,0.092753878983
Q12498,0.00492763120407,98|PRM4_YEAST Pheromone-regulated membrane protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRM4 PE=1 SV=1,288,vacuole,0.2,False,0.0246381560203,0.00946105191181,4.55393158808e-07
P42834,6.07160530435,34|MDJ2_YEAST Mitochondrial DnaJ homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDJ2 PE=1 SV=1,148,mitochondrion membrane,0.41,False,30.3580265217,5.99065056696,0.000288350736306
Q08322,1.31491082434,22|PAU20_YEAST Seripauperin-20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAU20 PE=3 SV=1,121,secreted,0.25,False,6.57455412169,1.06069473163,5.10549068827e-05
Q06651,14.5566014365,51|PIB1_YEAST E3 ubiquitin-protein ligase PIB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIB1 PE=1 SV=1,290,nucleus,0.27,False,72.7830071825,28.1427627772,0.00135460853171
P49017,33.9689034094,17|COQ5_YEAST 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COQ5 PE=1 SV=1,312,mitochondrion,1.0,False,169.844517047,70.6553190915,0.00340088493833
P53879,31.1948102496,79|RHO5_YEAST GTP-binding protein RHO5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RHO5 PE=1 SV=2,336,cytoplasm,0.41,False,155.974051248,69.8763749591,0.0033633916625
Q05948,25.4065762209,48|YL225_YEAST Uncharacterized SVF1-like protein YLR225C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR225C PE=1 SV=1,413,cytoplasm,1.0,False,127.032881104,69.9527731948,0.00336706897389
P53877,35.1852118195,77|IPI3_YEAST Pre-rRNA-processing protein IPI3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IPI3 PE=1 SV=1,564,nucleus,1.0,False,175.926059097,132.296396441,0.00636788323708
Q05946,75.5158564767,46|UTP13_YEAST U3 small nucleolar RNA-associated protein 13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP13 PE=1 SV=1,830,nucleus,1.0,False,377.579282383,417.854405838,0.0201127781107
P49018,36.4384921294,18|GPI8_YEAST GPI-anchor transamidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPI8 PE=1 SV=1,417,endoplasmic reticulum membrane,1.0,False,182.192460647,101.29900812,0.0048758717024
P53874,51.1768404204,74|UBP10_YEAST Ubiquitin carboxyl-terminal hydrolase 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBP10 PE=1 SV=2,805,nucleus,0.13,False,255.884202102,274.649043589,0.01321980861
P53873,0.799252816537,73|SWT21_YEAST Protein SWT21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SWT21 PE=1 SV=1,362,nucleus,1.0,False,3.99626408269,1.92886346391,9.2842871377e-05
Q04149,7.98266908813,49|MUS81_YEAST Crossover junction endonuclease MUS81 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MUS81 PE=1 SV=1,642,nucleus,1.0,False,39.9133454407,34.1658236972,0.00164451929043
P42073,20.7218852997,73|REF2_YEAST RNA end formation protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REF2 PE=1 SV=2,541,nucleus,1.0,False,103.609426498,74.7369329809,0.00359734713508
P53870,1.01802613512,70|YNT3_YEAST Uncharacterized protein YNL193W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL193W PE=4 SV=2,567,nucleus,0.59,False,5.09013067562,3.84813879077,0.000185224232548
P35200,18.6136749844,00|UPS2_YEAST Protein UPS2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UPS2 PE=1 SV=1,233,mitochondrion,0.2,False,93.0683749221,28.9132418091,0.00139169435297
P10356,10.53998867,56|YEY2_YEAST Uncharacterized protein YER152C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YER152C PE=1 SV=2,450,cytoplasm,0.1,False,52.6999433499,31.61996601,0.00152197835261
P35202,4.56432183025,02|THI80_YEAST Thiamine pyrophosphokinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THI80 PE=1 SV=1,324,cytoplasm,0.2,False,22.8216091512,9.85893515334,0.000474544655691
P35203,1.6912000455,03|CBF3C_YEAST Centromere DNA-binding protein complex CBF3 subunit C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTF13 PE=1 SV=3,485,nucleus,1.0,False,8.45600022749,5.46821348044,0.000263204031973
P53059,1.56606840493,59|MNT2_YEAST Alpha-1,3-mannosyltransferase MNT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MNT2 PE=1 SV=1,567,endoplasmic reticulum membrane,0.14,False,7.83034202463,5.91973857062,0.000284937496604
P53058,1.05823138377,58|VEL1_YEAST Protein VEL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VEL1 PE=1 SV=1,209,cytoplasm,0.91,False,5.29115691887,1.47446906139,7.09712968168e-05
P35206,90.2254220733,06|CSG2_YEAST Mannosyl phosphorylinositol ceramide synthase regulatory protein CSG2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CSG2 PE=1 SV=2,416,endoplasmic reticulum membrane,1.0,False,451.127110367,250.22517055,0.0120442031068
P35207,52.4449832335,07|SKI2_YEAST Antiviral helicase SKI2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SKI2 PE=1 SV=2,1308,cytoplasm,1.0,False,262.224916167,457.320253796,0.0220124059042
P35208,2.98900297784,08|SPT10_YEAST Protein SPT10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT10 PE=1 SV=1,650,cytoplasm,0.51,False,14.9450148892,12.9523462373,0.000623441232747
P35209,3.13455271367,09|SPT21_YEAST Protein SPT21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT21 PE=1 SV=1,770,nucleus,0.73,False,15.6727635684,16.0907039302,0.000774501245583
P53057,1.17305391947,57|YPS5_YEAST Yapsin-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPS5 PE=5 SV=1,167,secreted,0.98,False,5.86526959736,1.30600003035,6.28622995378e-05
P53056,3.110666306,56|YGZE_YEAST Putative UPF0377 protein YGL260W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGL260W PE=3 SV=1,77,secreted,0.75,False,15.55333153,1.59680870375,7.68599270345e-05
P53051,0.806602214559,51|MALX3_YEAST Oligo-1,6-glucosidase IMA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMA1 PE=1 SV=1,598,mitochondrion,1.0,False,4.0330110728,3.21565416204,0.000154780559301
P53050,0.189602925146,50|MGA1_YEAST Protein MGA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MGA1 PE=3 SV=1,463,nucleus,0.23,False,0.948014625728,0.585241028949,2.81696753513e-05
P40359,0.680902247651,59|PSF2_YEAST DNA replication complex GINS protein PSF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSF2 PE=1 SV=1,216,nucleus,1.0,False,3.40451123826,0.980499236618,4.71948202731e-05
Q03823,1.76114965548,23|YM35_YEAST Uncharacterized protein YMR160W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR160W PE=1 SV=1,829,nucleus,0.39,False,8.80574827741,9.73328709597,0.000468496780013
Q03718,0.46811205287,18|NSE5_YEAST Non-structural maintenance of chromosome element 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NSE5 PE=1 SV=1,565,nucleus,1.0,False,2.34056026435,1.76322206581,8.48699778538e-05
Q05892,14.5208138913,92|YL290_YEAST Uncharacterized protein YLR290C, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR290C PE=1 SV=1,281,mitochondrion,1.0,False,72.6040694564,27.2023246897,0.00130934199313
P25296,88.2138367383,96|CANB_YEAST Calcineurin subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CNB1 PE=1 SV=3,177,cytoplasm,0.18,False,441.069183691,104.092327351,0.00501032382044
Q07990,61.2019341897,90|YL042_YEAST Cell wall protein YLR042C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR042C PE=2 SV=1,163,nucleus,0.11,False,306.009670949,66.5061018195,0.00320116875691
P48561,2.35032936547,61|TRF5_YEAST Poly(A) RNA polymerase protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRF5 PE=1 SV=2,652,nucleus,1.0,False,11.7516468273,10.2160983086,0.00049173615395
P53871,30.644452788,71|DUG3_YEAST Probable glutamine amidotransferase DUG3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DUG3 PE=1 SV=1,362,cytoplasm,1.0,False,153.22226394,73.9552793949,0.00355972344388
Q05898,1.70429710796,98|YL296_YEAST Putative uncharacterized protein YLR296W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR296W PE=5 SV=1,109,chloroplast,0.2,False,8.52148553982,1.23845589845,5.96111668024e-05
Q12342,6.1743592443,42|LDB17_YEAST Protein LDB17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LDB17 PE=1 SV=1,499,nucleus,0.67,False,30.8717962215,20.5400350861,0.000988662946473
P17898,20.1107463013,98|CPT1_YEAST Cholinephosphotransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPT1 PE=1 SV=3,399,golgi apparatus membrane,0.46,False,100.553731507,53.4945851616,0.00257487944712
P53903,78.235829665,03|PGA2_YEAST Processing of GAS1 and ALP protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGA2 PE=1 SV=3,131,nucleus,0.36,False,391.179148325,68.3259579074,0.00328876472617
P53899,24.6705919981,99|YNP5_YEAST AN1-type zinc finger protein YNL155W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL155W PE=1 SV=1,278,endoplasmic reticulum,0.34,False,123.35295999,45.7228305031,0.0022007980092
P28240,7.55158146778,40|ACEA_YEAST Isocitrate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ICL1 PE=1 SV=1,566,cytoplasm,1.0,False,37.7579073389,28.4946340717,0.00137154531441
P53900,171.574219271,00|PFD4_YEAST Prefoldin subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GIM3 PE=1 SV=1,131,cytoplasm,0.48,False,857.871096355,149.84148483,0.00721238903806
P53907,0.692055853412,07|YNO4_YEAST Uncharacterized protein YNL144C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL144C PE=1 SV=1,752,cytoplasm,0.23,False,3.46027926706,3.46950667844,0.000166999359112
P53906,10.3865535321,06|YNO6_YEAST Uncharacterized protein YNL146W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL146W PE=1 SV=2,101,mitochondrion membrane,0.32,False,51.9327676603,6.99361271159,0.000336626774052
P53905,101.038740605,05|LSM7_YEAST U6 snRNA-associated Sm-like protein LSm7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSM7 PE=1 SV=2,116,nucleus,0.32,False,505.193703025,78.1366260678,0.00376098612452
P53904,5.60302855874,04|TBCB_YEAST Tubulin-specific chaperone B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALF1 PE=1 SV=1,258,cytoplasm,1.0,False,28.0151427937,9.63720912104,0.0004638722147
P06242,15.6258495487,42|KIN28_YEAST Serine/threonine-protein kinase KIN28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KIN28 PE=1 SV=1,311,nucleus,1.0,False,78.1292477435,32.397594731,0.00155940831314
P06243,6.91737962141,43|CDC7_YEAST Cell division control protein 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC7 PE=1 SV=2,515,nucleus,0.33,False,34.5868981071,23.7496700335,0.00114315378015
P53909,214.17878308,09|ADE_YEAST Adenine deaminase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AAH1 PE=1 SV=1,352,secreted,0.14,False,1070.8939154,502.60621096,0.0241921756882
P53908,64.2926976297,08|YNO3_YEAST Uncharacterized membrane protein YNL143C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL143C PE=1 SV=1,132,nucleus,0.74,False,321.463488149,56.5775739142,0.00272327436131
P48560,160.958236718,60|TOS6_YEAST Protein TOS6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOS6 PE=1 SV=1,103,secreted,0.31,False,804.791183589,110.52465588,0.005319934045
Q08259,3.61153650195,59|YOL18_YEAST Putative uncharacterized protein YOL118C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOL118C PE=5 SV=1,103,plastid,0.03,False,18.0576825097,2.47992173134,0.000119367212162
P06245,21.4701388587,45|KAPB_YEAST cAMP-dependent protein kinase type 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPK2 PE=1 SV=2,386,cytoplasm,0.27,False,107.350694293,55.2498239963,0.00265936516444
P36528,12.2982576703,28|RM17_YEAST 54S ribosomal protein L17, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL17 PE=1 SV=2,285,mitochondrion,1.0,False,61.4912883516,23.3666895736,0.00112471960571
Q03981,5.92317433807,81|CSN9_YEAST COP9 signalosome complex subunit 9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CSN9 PE=1 SV=1,164,nucleus,0.62,False,29.6158716903,6.47600394296,0.000311712473362
P25605,482.058105603,05|ILV6_YEAST Acetolactate synthase small subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV6 PE=1 SV=2,314,mitochondrion,1.0,False,2410.29052802,1009.10830106,0.0485718735173
P25606,0.807702033511,06|YCZ0_YEAST Uncharacterized protein YCR100C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCR100C PE=4 SV=1,321,cytoplasm,0.36,False,4.03851016756,1.72848235171,8.31978352332e-05
P25608,0.480401817981,08|YCZ2_YEAST Uncharacterized protein YCR102C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCR102C PE=1 SV=1,374,mitochondrion,0.14,False,2.40200908991,1.19780186617,5.76543475868e-05
P00163,0.62436910605,63|CYB_YEAST Cytochrome b OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COB PE=1 SV=3,391,mitochondrion membrane,1.0,False,3.12184553025,1.62752213644,7.83382708023e-05
P53341,3.3113979384,41|MAL12_YEAST Alpha-glucosidase MAL12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MAL12 PE=1 SV=1,593,cytoplasm,0.66,False,16.556989692,13.0910598498,0.000630117998794
Q03694,0.840223864499,94|INP1_YEAST Inheritance of peroxisomes protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INP1 PE=1 SV=1,426,nucleus,0.74,False,4.2011193225,2.38623577518,0.000114857782987
P53759,24.8633838183,59|DUS1_YEAST tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DUS1 PE=1 SV=1,430,mitochondrion,0.18,False,124.316919092,71.2750336125,0.00343071394212
Q02831,1.05229630619,31|YP077_YEAST Uncharacterized protein YPL077C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPL077C PE=1 SV=1,243,nucleus,0.6,False,5.26148153095,1.70472001603,8.20540718114e-05
P32645,0.908858952092,45|ISC10_YEAST Meiosis-specific protein ISC10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ISC10 PE=2 SV=1,271,nucleus,0.79,False,4.54429476046,1.64200517345,7.90353894773e-05
P32644,23.7751686145,44|ECM32_YEAST Putative ATP-dependent RNA helicase ECM32 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM32 PE=1 SV=1,1139,cytoplasm,1.0,False,118.875843072,180.532780346,0.00868966726708
P36039,11.2791926646,39|EMC3_YEAST ER membrane protein complex subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMC3 PE=1 SV=3,257,mitochondrion membrane,0.16,False,56.3959633228,19.3250167653,0.000930179911366
P32317,29.5594254866,17|AFG1_YEAST Protein AFG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AFG1 PE=1 SV=1,517,nucleus,0.22,False,147.797127433,101.88148651,0.00490390840242
P32316,110.933209267,16|ACH1_YEAST Acetyl-CoA hydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACH1 PE=1 SV=2,534,cytoplasm,1.0,False,554.666046336,394.922224991,0.0190089729132
P32643,19.2276060905,43|TMT1_YEAST Trans-aconitate 3-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMT1 PE=1 SV=1,303,cytoplasm,1.0,False,96.1380304526,38.8397643028,0.00186949222117
P32642,15.4996988671,42|GLRX4_YEAST Monothiol glutaredoxin-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX4 PE=1 SV=1,248,chloroplast,0.36,False,77.4984943357,25.6261687937,0.00123347615719
P53271,23.2932168123,71|COG2_YEAST Conserved oligomeric Golgi complex subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COG2 PE=1 SV=2,266,secreted,0.07,False,116.466084061,41.3066378137,0.00198823137734
P53270,17.8025534872,70|YG32_YEAST Uncharacterized protein YGR117C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR117C PE=1 SV=1,483,cytoplasm,0.35,False,89.0127674359,57.3242222287,0.0027592131277
P32319,76.3374030199,19|VPS10_YEAST Vacuolar protein sorting/targeting protein VPS10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP1 PE=1 SV=1,1605,endoplasmic reticulum,0.12,False,381.687015099,816.810212312,0.0393159012549
P34756,0.641385321341,56|FAB1_YEAST 1-phosphatidylinositol 3-phosphate 5-kinase FAB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAB1 PE=1 SV=3,2315,nucleus,0.21,False,3.2069266067,9.89871345936,0.000476459323172
P53275,1.64822341048,75|YG37_YEAST Uncharacterized protein YGR127W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR127W PE=1 SV=1,317,secreted,0.55,False,8.2411170524,3.48324547415,0.000167660654879
P53274,8.01842560335,74|YG36_YEAST Uncharacterized protein YGR126W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR126W PE=1 SV=1,233,plasma membrane,0.17,False,40.0921280167,12.4552877705,0.000599516089179
P53277,3.80277563729,77|SYF2_YEAST Pre-mRNA-splicing factor SYF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SYF2 PE=1 SV=1,218,nucleus,1.0,False,19.0138781864,5.52670059286,0.000266019219029
P53276,162.797587933,76|UTP8_YEAST U3 small nucleolar RNA-associated protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP8 PE=1 SV=1,724,nucleus,1.0,False,813.987939666,785.769691091,0.0378218135845
P25294,524.231837447,94|SIS1_YEAST Protein SIS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIS1 PE=1 SV=1,357,cytoplasm,0.36,False,2621.15918723,1247.67177312,0.0600547587324
P41813,5.61514853042,13|FKH2_YEAST Fork head protein homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FKH2 PE=1 SV=1,876,nucleus,0.36,False,28.0757426521,32.7924674177,0.0015784149016
P41810,312.977964278,10|COPB_YEAST Coatomer subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC26 PE=1 SV=2,989,golgi apparatus,0.0,False,1564.88982139,2063.56804447,0.099326668847
P41811,403.14390447,11|COPB2_YEAST Coatomer subunit beta' OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC27 PE=1 SV=1,903,cytoplasm,0.1,False,2015.71952235,2426.92630491,0.116816358951
P41816,17.1141130468,16|OYE3_YEAST NADPH dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OYE3 PE=1 SV=2,406,cytoplasm,0.27,False,85.5705652338,46.3221993132,0.00222964770354
P41817,2.46683623634,17|CUP9_YEAST Homeobox protein CUP9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CUP9 PE=1 SV=1,311,nucleus,0.38,False,12.3341811817,5.11457379668,0.000246182130586
P41814,17.7329084029,14|TRM6_YEAST tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCD10 PE=1 SV=1,485,nucleus,1.0,False,88.6645420144,57.336403836,0.00275979947061
P41815,168.046041481,15|BAP3_YEAST Valine amino-acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BAP3 PE=1 SV=2,614,plasma membrane,0.67,False,840.230207404,687.868463128,0.0331094887956
P04076,368.251912609,76|ARLY_YEAST Argininosuccinate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG4 PE=1 SV=2,470,mitochondrion,0.11,False,1841.25956305,1153.85599284,0.0555390806739
P41818,129.847267683,18|GLC8_YEAST Protein GLC8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLC8 PE=1 SV=1,232,nucleus,0.89,False,649.236338414,200.830440683,0.00966666387838
P41819,24.4823269382,19|DIM1_YEAST Dimethyladenosine transferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DIM1 PE=1 SV=1,323,nucleus,0.51,False,122.411634691,52.7186106735,0.00253752911054
Q03231,3.26930955442,31|YM46_YEAST Uncharacterized protein YMR181C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR181C PE=1 SV=1,156,cytoplasm,0.33,False,16.3465477721,3.4000819366,0.000163657706114
